,weight
XEL,0.3039173263628068
CHTR,0.2649648915768271
AMGN,0.0807659261811741
CTXS,0.06561376301477158
CHKP,0.06269590246368503
EXC,0.0521545381938461
KHC,0.04050981325580423
CSX,0.03431195121500069
COST,0.030352281940850656
EBAY,0.02348597383936449
JD,0.0197898705470106
CTSH,0.01963613927516285
LULU,0.00180162213369579
